1.Mose;1
2.Mose;2
3.Mose;3
4.Mose;4
5.Mose;5
Jos.;6
Ri.;7
Ruth;8
1.Sam.;9
2.Sam.;10
1.Kön.;11
2.Kön.;12
1.Chr.;13
2.Chr.;14
Esra;15
Neh.;16
Esth.;17
Hiob;18
Ps.;19
Spr.;20
Pred.;21
Hld.;22
Jes.;23
Jer.;24
Klgl.;25
Hes.;26
Dan.;27
Hos.;28
Joel;29
Amos;30
Obd.;31
Jona;32
Mi.;33
Nah.;34
Hab.;35
Zeph.;36
Hag.;37
Sach.;38
Mal.;39
Mt.;40
Mk.;41
Lk.;42
Joh.;43
Apg.;44
Röm.;45
1.Kor.;46
2.Kor.;47
Gal.;48
Eph.;49
Phil.;50
Kol.;51
1.Thess.;52
2.Thess.;53
1.Tim.;54
2.Tim.;55
Tit.;56
Phlm.;57
Hebr.;58
Jak.;59
1.Petr.;60
2.Petr.;61
1.Joh.;62
2.Joh.;63
3.Joh.;64
Jud.;65
Offb.;66
