Gen;1
Exo;2
Lev;3
Num;4
Deut;5
Deu;5
Josh;6
Judg;7
Ruth;8
1 Sam;9
2 Sam;10
1Sa;9
2Sa;10
1 Ki;11
2 Ki;12
1Ki;11
2Ki;12
1 Chr;13
2 Chr;14
1Chr;13
2Chr;14
1Ch;13
2Ch;14
Ezra;15
Neh;16
Esth;17
Job;18
Psa;19
Prov;20
Eccl;21
Ecc;21
SS;22
SoS;22
Isa;23
Jer;24
Lam;25
Ezek;26
Eze;26
Dan;27
Hos;28
Joel;29
Joe;29
Amos;30
Oba;31
Jonah;32
Mic;33
Nah;34
Hab;35
Zep;36
Hag;37
Zec;38
Mal;39
Matt;40
Mark;41
Luke;42
John;43
Acts;44
Rom;45
1 Cor;46
2 Cor;47
Gal;48
Eph;49
Phil;50
Col;51
1 Thes;52
2 Thes;53
1 Tim;54
2 Tim;55
Titus;56
Philem;57
Heb;58
James;59
1 Pet;60
2 Pet;61
1 Jo;62
2 Jo;63
3 Jo;64
Jude;65
Rev;66
Genesis;1
Exodus;2
Leviticus;3
Numbers;4
Deuteronomy;5
Joshua;6
Judges;7
Ruth;8
1 Samuel;9
2 Samuel;10
1 Kings;11
2 Kings;12
1 Chronicles;13
2 Chronicles;14
Ezra;15
Nehemiah;16
Esther;17
Job;18
Psalms;19
Proverbs;20
Ecclesiastes;21
Song of Solomon;22
Isaiah;23
Jeremiah;24
Lamentations;25
Ezekiel;26
Daniel;27
Hosea;28
Joel;29
Amos;30
Obadiah;31
Jonah;32
Micah;33
Nahum;34
Habakkuk;35
Zephaniah;36
Haggai;37
Zechariah;38
Malachi;39
Matthew;40
Mark;41
Luke;42
John;43
Acts;44
Romans;45
1 Corinthians;46
2 Corinthians;47
Galatians;48
Ephesians;49
Philippians;50
Colossians;51
1 Thessalonians;52
2 Thessalonians;53
1 Timothy;54
2 Timothy;55
Titus;56
Philemon;57
Hebrews;58
James;59
1 Peter;60
2 Peter;61
1 John;62
2 John;63
3 John;64
Jude;65
Revelation;66
